title,author,isbn_13,format_code,location_code,notes
Hallowe'en Party,Agatha Christie,9780008256142,PB,F1-B27-S07,
Hallowe'en Party,Agatha Christie,9780008256142,ADIG,,Audiobook (digital)
Harry Potter and the Chamber of Secrets,J. K. Rowling,9781856136129,PB,F2-B11-S09,
Harry Potter and the Chamber of Secrets,J. K. Rowling,9781856136129,ACD,F1-B14-S01,Audiobook (CD)
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928,PB,F2-B27-S02,
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928,PB,F2-B27-S02,
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928,PB,F2-B27-S02,
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928,LP,F1-B28-S05,Large print edition
Harry Potter and the Goblet of Fire,J. K. Rowling,9789750803314,PB,F1-B01-S05,
Harry Potter and the Goblet of Fire,J. K. Rowling,9789750803314,EBK,,eBook edition
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738,PB,F1-B19-S04,
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738,ACD,F1-B04-S02,Audiobook (CD)
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738,PB,F1-B19-S04,
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738,PB,F1-B19-S04,
Harry Potter and the Philosopher's Stone,J. K. Rowling,9757501956008,PB,F2-B23-S05,
Harry Potter and the Philosopher's Stone,J. K. Rowling,9757501956008,LP,F1-B06-S10,Large print edition; Missing dust jacket
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261,PB,F1-B08-S01,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261,PB,F1-B08-S01,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261,PB,F1-B08-S01,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261,ACD,F0-B22-S02,Audiobook (CD)
Heinemann Mathematics,Scottish Primary Mathematics Group,9780435028480,PB,F1-B10-S09,
Heinemann Mathematics,Scottish Primary Mathematics Group,9780435028480,ADIG,,Audiobook (digital); Slightly damaged cover
Hercule Poirot's Christmas,Agatha Christie,9780553119251,PB,F2-B03-S01,Staff pick
Hercule Poirot's Christmas,Agatha Christie,9780553119251,EBK,,eBook edition
Hickory Dickory Death,Agatha Christie,9789504908043,PB,F2-B26-S04,
Hickory Dickory Death,Agatha Christie,9789504908043,EBK,,eBook edition
His Last Bow [8 stories],Arthur Conan Doyle,9798774492824,PB,F2-B19-S05,
His Last Bow [8 stories],Arthur Conan Doyle,9798774492824,ACD,F1-B23-S05,Audiobook (CD)
"History of Cleopatra, queen of Egypt",Jacob Abbott,9781554456253,PB,F1-B10-S08,
"History of Cleopatra, queen of Egypt",Jacob Abbott,9781554456253,PB,F1-B10-S08,
"History of Cleopatra, queen of Egypt",Jacob Abbott,9781554456253,PB,F1-B10-S08,
"History of Cleopatra, queen of Egypt",Jacob Abbott,9781554456253,PB,F1-B10-S08,
"History of Cleopatra, queen of Egypt",Jacob Abbott,9781554456253,PB,F1-B10-S08,
Hitchcock,François Truffaut,9783453861411,PB,F2-B08-S08,
Hitchcock,François Truffaut,9783453861411,PB,F2-B08-S08,
Hitchcock,François Truffaut,9783453861411,PB,F2-B08-S08,
Hitchcock,François Truffaut,9783453861411,PB,F2-B08-S08,
Houghton Mifflin Vocabulary Readers,Houghton Mifflin Company Staff,9780618673254,PB,F2-B04-S09,
Houghton Mifflin Vocabulary Readers,Houghton Mifflin Company Staff,9780618673254,LP,F1-B07-S04,Large print edition; Staff pick
Hour Game,David Baldacci,9781600242182,PB,F2-B26-S01,
Hour Game,David Baldacci,9781600242182,ACD,F0-B11-S03,Audiobook (CD)
Hour Game,David Baldacci,9781600242182,PB,F2-B26-S01,
Hour Game,David Baldacci,9781600242182,LP,F1-B09-S03,Large print edition
Hour Game,David Baldacci,9781600242182,LP,F1-B09-S03,Large print edition
I am the Cheese,Robert Cormier,9780440940609,PB,F2-B08-S04,
I am the Cheese,Robert Cormier,9780440940609,ADIG,,Audiobook (digital); Staff pick
I Have No Mouth and I Must Scream,Harlan Ellison,9780441363957,PB,F1-B22-S06,Donated copy
I Have No Mouth and I Must Scream,Harlan Ellison,9780441363957,PB,F1-B22-S06,Donated copy
I Have No Mouth and I Must Scream,Harlan Ellison,9780441363957,PB,F1-B22-S06,Donated copy
I Have No Mouth and I Must Scream,Harlan Ellison,9780441363957,ACD,F1-B17-S05,Donated copy; Audiobook (CD)
Immortal in death,Nora Roberts,9780753173817,PB,F1-B28-S03,
Immortal in death,Nora Roberts,9780753173817,PB,F1-B28-S03,
Immortal in death,Nora Roberts,9780753173817,PB,F1-B28-S03,
Immortal in death,Nora Roberts,9780753173817,ADIG,,Audiobook (digital)
Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,9780160375903,PB,F1-B01-S02,
Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,9780160375903,PB,F1-B01-S02,
Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,9780160375903,PB,F1-B01-S02,
Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,9780160375903,LP,F1-B02-S06,Large print edition
"In a Dark, Dark Wood",Ruth Ware,9780099598244,LP,F1-B25-S04,Large print edition
In Cold Blood,Truman Capote,9780451099587,PB,F1-B23-S05,
In Cold Blood,Truman Capote,9780451099587,LP,F1-B26-S10,Large print edition
In the Woods,Tana French,9781429534314,PB,F2-B11-S03,
In the Woods,Tana French,9781429534314,LP,F1-B23-S02,Large print edition
In the Woods,Tana French,9781429534314,PB,F2-B11-S03,
In the Woods,Tana French,9781429534314,PB,F2-B11-S03,
It's Trevor Noah,Trevor Noah,9780525582175,PB,F2-B05-S05,
It's Trevor Noah,Trevor Noah,9780525582175,ADIG,,Audiobook (digital)
Jacob's Room,Virginia Woolf,9780141915418,PB,F1-B03-S01,
Jacob's Room,Virginia Woolf,9780141915418,ACD,F0-B14-S08,Audiobook (CD)
Jacob's Room,Virginia Woolf,9780141915418,LP,F1-B14-S06,Large print edition
Jacob's Room,Virginia Woolf,9780141915418,PB,F1-B03-S01,
Jacob's Room,Virginia Woolf,9780141915418,PB,F1-B03-S01,
James and the Giant Peach,Roald Dahl,9780553151138,PB,F2-B19-S03,
James and the Giant Peach,Roald Dahl,9780553151138,LP,F1-B26-S03,Large print edition
James and the Giant Peach,Roald Dahl,9780553151138,ACD,F0-B02-S05,Audiobook (CD)
James and the Giant Peach,Roald Dahl,9780553151138,PB,F2-B19-S03,
Jo's Boys,Louisa May Alcott,9781412165068,PB,F2-B17-S03,
Jo's Boys,Louisa May Alcott,9781412165068,PB,F2-B17-S03,
Jo's Boys,Louisa May Alcott,9781412165068,ADIG,,Audiobook (digital)
Jo's Boys,Louisa May Alcott,9781412165068,PB,F2-B17-S03,
Jo's Boys,Louisa May Alcott,9781412165068,PB,F2-B17-S03,
Just Mercy,Bryan Stevenson,9780593133934,PB,F1-B20-S03,
Just Mercy,Bryan Stevenson,9780593133934,PB,F1-B20-S03,
Just Mercy,Bryan Stevenson,9780593133934,PB,F1-B20-S03,
Just Mercy,Bryan Stevenson,9780593133934,ACD,F0-B19-S06,Audiobook (CD)
Just Mercy,Bryan Stevenson,9780593133934,PB,F1-B20-S03,
Just So Stories,Rudyard Kipling,9798451898277,PB,F2-B11-S01,
Just So Stories,Rudyard Kipling,9798451898277,LP,F1-B19-S01,Large print edition
Just So Stories,Rudyard Kipling,9798451898277,ADIG,,Audiobook (digital)
Just So Stories,Rudyard Kipling,9798451898277,PB,F2-B11-S01,
Kill Alex Cross,James Patterson,9780099550044,PB,F2-B25-S06,
Kill Alex Cross,James Patterson,9780099550044,ACD,F0-B10-S07,Audiobook (CD)
Killers of the Flower Moon,David Grann,9781398528482,PB,F2-B16-S08,
Killers of the Flower Moon,David Grann,9781398528482,LP,F1-B15-S02,Large print edition
Killers of the Flower Moon,David Grann,9781398528482,PB,F2-B16-S08,
Killers of the Flower Moon,David Grann,9781398528482,PB,F2-B16-S08,
Killing for Company,Brian Masters,9780679424253,PB,F2-B01-S09,
Killing for Company,Brian Masters,9780679424253,PB,F2-B01-S09,
Killing for Company,Brian Masters,9780679424253,PB,F2-B01-S09,
Killing for Company,Brian Masters,9780679424253,PB,F2-B01-S09,
Killing for Company,Brian Masters,9780679424253,PB,F2-B01-S09,
Labyrinths,Jorge Luis Borges,9780811200127,PB,F2-B01-S03,
Labyrinths,Jorge Luis Borges,9780811200127,ACD,F0-B06-S03,Audiobook (CD)
Labyrinths,Jorge Luis Borges,9780811200127,PB,F2-B01-S03,
Labyrinths,Jorge Luis Borges,9780811200127,LP,F1-B24-S08,Large print edition
Little Brother,Cory Doctorow,9780902756670,PB,F1-B12-S04,
Little Brother,Cory Doctorow,9780902756670,PB,F1-B12-S04,
Little Brother,Cory Doctorow,9780902756670,PB,F1-B12-S04,
Little Brother,Cory Doctorow,9780902756670,PB,F1-B12-S04,
Little House in the Big Woods,Laura Ingalls Wilder,9788949140285,PB,F1-B06-S01,
Little House in the Big Woods,Laura Ingalls Wilder,9788949140285,PB,F1-B06-S01,
Little House in the Big Woods,Laura Ingalls Wilder,9788949140285,PB,F1-B06-S01,
Little House in the Big Woods,Laura Ingalls Wilder,9788949140285,PB,F1-B06-S01,
Little House in the Big Woods,Laura Ingalls Wilder,9788949140285,LP,F1-B11-S02,Large print edition
Little House on the Prairie,Laura Ingalls Wilder,9780749709303,PB,F2-B13-S10,
Little House on the Prairie,Laura Ingalls Wilder,9780749709303,PB,F2-B13-S10,
Little House on the Prairie,Laura Ingalls Wilder,9780749709303,PB,F2-B13-S10,
Little House on the Prairie,Laura Ingalls Wilder,9780749709303,PB,F2-B13-S10,
Little House on the Prairie,Laura Ingalls Wilder,9780749709303,PB,F2-B13-S10,
"Mary, Mary",James Patterson,9780466619035,PB,F2-B24-S05,
"Mary, Mary",James Patterson,9780466619035,PB,F2-B24-S05,
"Mary, Mary",James Patterson,9780466619035,PB,F2-B24-S05,
"Mary, Mary",James Patterson,9780466619035,ADIG,,Audiobook (digital)
"Mary, Mary",James Patterson,9780466619035,ADIG,,Audiobook (digital)
Master of the Game,Sidney Sheldon,9785237047516,PB,F1-B08-S07,
Master of the Game,Sidney Sheldon,9785237047516,PB,F1-B08-S07,
Master of the Game,Sidney Sheldon,9785237047516,PB,F1-B08-S07,
Master of the Game,Sidney Sheldon,9785237047516,ADIG,,Audiobook (digital)
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,9781980881995,PB,F2-B03-S09,Staff pick
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,9781980881995,ACD,F1-B13-S07,Staff pick; Audiobook (CD)
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,9781980881995,PB,F2-B03-S09,Staff pick
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,9781980881995,LP,F1-B11-S07,Staff pick; Large print edition
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,9781980881995,PB,F2-B03-S09,Staff pick
Men Explain Things To Me,Rebecca Solnit,9782823612585,PB,F1-B05-S01,
Men Explain Things To Me,Rebecca Solnit,9782823612585,ADIG,,Audiobook (digital)
Men Explain Things To Me,Rebecca Solnit,9782823612585,ACD,F0-B12-S04,Audiobook (CD)
Men Explain Things To Me,Rebecca Solnit,9782823612585,PB,F1-B05-S01,
Men Explain Things To Me,Rebecca Solnit,9782823612585,PB,F1-B05-S01,
Midnight in the Garden of Good and Evil,John Berendt,9780679449447,PB,F1-B28-S02,Replacement case
Midnight in the Garden of Good and Evil,John Berendt,9780679449447,PB,F1-B28-S02,Replacement case
Midnight in the Garden of Good and Evil,John Berendt,9780679449447,PB,F1-B28-S02,Replacement case
Midnight in the Garden of Good and Evil,John Berendt,9780679449447,LP,F1-B22-S02,Replacement case; Large print edition
Monkey Wrench Gang (2233),Edward Abbey,9780860721352,PB,F1-B15-S01,Popular title - keep on display
Monkey Wrench Gang (2233),Edward Abbey,9780860721352,ACD,F1-B22-S02,Popular title - keep on display; Audiobook (CD)
Monkey Wrench Gang (2233),Edward Abbey,9780860721352,LP,F1-B23-S08,Popular title - keep on display; Large print edition
Monkey Wrench Gang (2233),Edward Abbey,9780860721352,ACD,F1-B22-S02,Popular title - keep on display; Audiobook (CD)
Monkey Wrench Gang (2233),Edward Abbey,9780860721352,PB,F1-B15-S01,Popular title - keep on display
Mother Night,Kurt Vonnegut,9780440558538,PB,F2-B25-S08,
Mother Night,Kurt Vonnegut,9780440558538,ADIG,,Audiobook (digital)
Mother Night,Kurt Vonnegut,9780440558538,PB,F2-B25-S08,
Mother Night,Kurt Vonnegut,9780440558538,PB,F2-B25-S08,
Mother Night,Kurt Vonnegut,9780440558538,PB,F2-B25-S08,
Mr. Justice Raffles,E. W. Hornung,9781796995190,PB,F1-B14-S10,
Mr. Justice Raffles,E. W. Hornung,9781796995190,PB,F1-B14-S10,
Mr. Justice Raffles,E. W. Hornung,9781796995190,PB,F1-B14-S10,
Mr. Justice Raffles,E. W. Hornung,9781796995190,PB,F1-B14-S10,
Mr. Justice Raffles,E. W. Hornung,9781796995190,PB,F1-B14-S10,
Mrs. McGinty's Dead,Agatha Christie,9780671802912,PB,F2-B20-S03,
Mrs. McGinty's Dead,Agatha Christie,9780671802912,PB,F2-B20-S03,
Mrs. McGinty's Dead,Agatha Christie,9780671802912,PB,F2-B20-S03,
Mrs. McGinty's Dead,Agatha Christie,9780671802912,PB,F2-B20-S03,
Mrs. McGinty's Dead,Agatha Christie,9780671802912,PB,F2-B20-S03,
Much Ado About Nothing,William Shakespeare,9781402207778,PB,F1-B23-S04,
Much Ado About Nothing,William Shakespeare,9781402207778,LP,F1-B08-S07,Large print edition; Staff pick
Murder on the Links,Agatha Christie,9783596166572,PB,F2-B28-S03,
Murder on the Links,Agatha Christie,9783596166572,EBK,,eBook edition
Murder on the Orient Express,Agatha Christie,9781724929716,PB,F1-B12-S09,
Murder on the Orient Express,Agatha Christie,9781724929716,PB,F1-B12-S09,
Murder on the Orient Express,Agatha Christie,9781724929716,PB,F1-B12-S09,
Murder on the Orient Express,Agatha Christie,9781724929716,PB,F1-B12-S09,
My life in crime,John Kiriamiti,9789966566010,PB,F2-B09-S01,
My life in crime,John Kiriamiti,9789966566010,EBK,,eBook edition
N or M?,Agatha Christie,9780062449931,PB,F1-B13-S05,
N or M?,Agatha Christie,9780062449931,PB,F1-B13-S05,
N or M?,Agatha Christie,9780062449931,PB,F1-B13-S05,
N or M?,Agatha Christie,9780062449931,PB,F1-B13-S05,
Naked in Death,Nora Roberts,9780399151576,PB,F1-B04-S04,
Naked in Death,Nora Roberts,9780399151576,PB,F1-B04-S04,
Naked in Death,Nora Roberts,9780399151576,PB,F1-B04-S04,
Naked in Death,Nora Roberts,9780399151576,PB,F1-B04-S04,
Naked in Death,Nora Roberts,9780399151576,PB,F1-B04-S04,
Native Son,Richard Wright,9780451025982,PB,F1-B10-S10,
Native Son,Richard Wright,9780451025982,ACD,F1-B24-S03,Audiobook (CD)
Native Son,Richard Wright,9780451025982,LP,F1-B04-S03,Large print edition
Native Son,Richard Wright,9780451025982,ACD,F1-B24-S03,Audiobook (CD)
Nightmares & Dreamscapes,Stephen King,9788878249455,PB,F1-B12-S07,
Nightmares & Dreamscapes,Stephen King,9788878249455,ADIG,,Audiobook (digital)
Nightmares & Dreamscapes,Stephen King,9788878249455,PB,F1-B12-S07,
Nightmares & Dreamscapes,Stephen King,9788878249455,PB,F1-B12-S07,
Northern Lights,Philip Pullman,9789722361606,PB,F2-B21-S08,
Northern Lights,Philip Pullman,9789722361606,LP,F1-B16-S06,Large print edition
"Not a Penny More, Not a Penny Less",Jeffrey Archer,9780061007354,PB,F1-B25-S03,
"Not a Penny More, Not a Penny Less",Jeffrey Archer,9780061007354,PB,F1-B25-S03,
"Not a Penny More, Not a Penny Less",Jeffrey Archer,9780061007354,LP,F1-B17-S09,Large print edition
"Not a Penny More, Not a Penny Less",Jeffrey Archer,9780061007354,PB,F1-B25-S03,
On the Beach,Nevil Shute,9798411443691,PB,F1-B13-S08,
On the Beach,Nevil Shute,9798411443691,PB,F1-B13-S08,
On the Beach,Nevil Shute,9798411443691,ACD,F0-B11-S02,Audiobook (CD)
On the Beach,Nevil Shute,9798411443691,PB,F1-B13-S08,
On the Beach,Nevil Shute,9798411443691,ACD,F0-B11-S02,Audiobook (CD)
"One, Two, Buckle My Shoe",Agatha Christie,9783502559801,PB,F2-B26-S09,
"One, Two, Buckle My Shoe",Agatha Christie,9783502559801,PB,F2-B26-S09,
"One, Two, Buckle My Shoe",Agatha Christie,9783502559801,PB,F2-B26-S09,
"One, Two, Buckle My Shoe",Agatha Christie,9783502559801,PB,F2-B26-S09,
"One, Two, Buckle My Shoe",Agatha Christie,9783502559801,PB,F2-B26-S09,
Ordeal by Innocence,Agatha Christie,9780061002786,PB,F1-B15-S06,
Ordeal by Innocence,Agatha Christie,9780061002786,PB,F1-B15-S06,
Ordeal by Innocence,Agatha Christie,9780061002786,PB,F1-B15-S06,
Ordeal by Innocence,Agatha Christie,9780061002786,PB,F1-B15-S06,
Ozma of Oz,L. Frank Baum,9781975934972,PB,F1-B05-S03,Slightly damaged cover
Ozma of Oz,L. Frank Baum,9781975934972,ADIG,,Audiobook (digital)
Partners in Crime,Agatha Christie,9780007111503,PB,F1-B06-S07,
Partners in Crime,Agatha Christie,9780007111503,ADIG,,Audiobook (digital)
Peril at End House,Agatha Christie,9781014285973,PB,F2-B04-S09,
Peril at End House,Agatha Christie,9781014285973,LP,F1-B20-S07,Large print edition
Peril at End House,Agatha Christie,9781014285973,ADIG,,Audiobook (digital)
Peril at End House,Agatha Christie,9781014285973,PB,F2-B04-S09,
Peril at End House,Agatha Christie,9781014285973,PB,F2-B04-S09,
Poirot investigates,Agatha Christie,9798737533328,PB,F2-B03-S04,
Poirot investigates,Agatha Christie,9798737533328,ACD,F0-B01-S06,Audiobook (CD)
Poirot investigates,Agatha Christie,9798737533328,PB,F2-B03-S04,
Poirot investigates,Agatha Christie,9798737533328,PB,F2-B03-S04,
Poirot investigates,Agatha Christie,9798737533328,PB,F2-B03-S04,
Poirot's Early Cases,Agatha Christie,9780060790226,PB,F1-B28-S02,
Poirot's Early Cases,Agatha Christie,9780060790226,LP,F1-B25-S07,Large print edition
Postern of Fate,Agatha Christie,9780062006691,PB,F1-B19-S04,
Postern of Fate,Agatha Christie,9780062006691,PB,F1-B19-S04,
Postern of Fate,Agatha Christie,9780062006691,PB,F1-B19-S04,
Postern of Fate,Agatha Christie,9780062006691,PB,F1-B19-S04,
Psychopathia sexualis,Richard von Krafft-Ebing,9780341964117,PB,F1-B05-S03,
Psychopathia sexualis,Richard von Krafft-Ebing,9780341964117,ACD,F1-B20-S02,Audiobook (CD); Donated copy
Roses Are Red,James Patterson,9780755381241,PB,F1-B03-S01,
Roses Are Red,James Patterson,9780755381241,PB,F1-B03-S01,
Roses Are Red,James Patterson,9780755381241,ADIG,,Audiobook (digital)
Roses Are Red,James Patterson,9780755381241,PB,F1-B03-S01,
Sad Cypress,Agatha Christie,9780854566907,PB,F1-B09-S02,
Sad Cypress,Agatha Christie,9780854566907,ACD,F0-B24-S09,Audiobook (CD)
Sanctuary,William Faulkner,9788402086556,PB,F2-B13-S04,
Sanctuary,William Faulkner,9788402086556,LP,F1-B07-S03,Large print edition
Sanctuary,William Faulkner,9788402086556,ACD,F0-B25-S02,Audiobook (CD)
Sanctuary,William Faulkner,9788402086556,PB,F2-B13-S04,
Sharp Objects,Gillian Flynn,9780307341549,PB,F1-B03-S07,
Sharp Objects,Gillian Flynn,9780307341549,PB,F1-B03-S07,
Sharp Objects,Gillian Flynn,9780307341549,LP,F1-B19-S04,Large print edition
Sharp Objects,Gillian Flynn,9780307341549,PB,F1-B03-S07,
Sharp Objects,Gillian Flynn,9780307341549,ADIG,,Audiobook (digital)
Split Second,David Baldacci,9781405033725,PB,F2-B04-S10,
Split Second,David Baldacci,9781405033725,PB,F2-B04-S10,
Split Second,David Baldacci,9781405033725,PB,F2-B04-S10,
Split Second,David Baldacci,9781405033725,PB,F2-B04-S10,
Split Second,David Baldacci,9781405033725,ACD,F0-B25-S06,Audiobook (CD)
Still Life (A Three Pines Mystery),Louise Penny,9781429967235,PB,F2-B11-S09,
Still Life (A Three Pines Mystery),Louise Penny,9781429967235,PB,F2-B11-S09,
Still Life (A Three Pines Mystery),Louise Penny,9781429967235,PB,F2-B11-S09,
Still Life (A Three Pines Mystery),Louise Penny,9781429967235,PB,F2-B11-S09,
Still Life (A Three Pines Mystery),Louise Penny,9781429967235,ACD,F1-B10-S02,Audiobook (CD)
Storm Front,Jim Butcher,9781429583886,PB,F2-B06-S10,
Storm Front,Jim Butcher,9781429583886,PB,F2-B06-S10,
Storm Front,Jim Butcher,9781429583886,PB,F2-B06-S10,
Storm Front,Jim Butcher,9781429583886,PB,F2-B06-S10,
Storm Front,Jim Butcher,9781429583886,ADIG,,Audiobook (digital)
Strangers On a Train,Patricia Highsmith,9780582418127,PB,F2-B20-S04,
Strangers On a Train,Patricia Highsmith,9780582418127,PB,F2-B20-S04,
Strangers On a Train,Patricia Highsmith,9780582418127,PB,F2-B20-S04,
Strangers On a Train,Patricia Highsmith,9780582418127,ACD,F1-B08-S07,Audiobook (CD)
Study Guide,SuperSummary,9798404017427,PB,F2-B22-S09,
Study Guide,SuperSummary,9798404017427,ADIG,,Audiobook (digital)
Taken at the Flood,Agatha Christie,9780563530404,PB,F1-B08-S09,
Taken at the Flood,Agatha Christie,9780563530404,PB,F1-B08-S09,
Taken at the Flood,Agatha Christie,9780563530404,PB,F1-B08-S09,
Taken at the Flood,Agatha Christie,9780563530404,LP,F1-B05-S10,Large print edition
Taken at the Flood,Agatha Christie,9780563530404,PB,F1-B08-S09,
Taking charge of adult ADHD,Russell Barkley,9781462547531,PB,F2-B14-S08,
Taking charge of adult ADHD,Russell Barkley,9781462547531,LP,F1-B26-S10,Large print edition
Taking charge of adult ADHD,Russell Barkley,9781462547531,LP,F1-B26-S10,Large print edition
Taking charge of adult ADHD,Russell Barkley,9781462547531,LP,F1-B26-S10,Large print edition
Tattoo Coloring Book for Adult,Dream Paris,9798562456830,PB,F2-B06-S05,
Tattoo Coloring Book for Adult,Dream Paris,9798562456830,ACD,F0-B02-S06,Audiobook (CD)
Tattoo Coloring Book for Adults,Jenny Olsen,9798556546882,PB,F2-B20-S09,
Tattoo Coloring Book for Adults,Jenny Olsen,9798556546882,PB,F2-B20-S09,
Tattoo Coloring Book for Adults,Jenny Olsen,9798556546882,ACD,F0-B10-S10,Audiobook (CD)
Tattoo Coloring Book for Adults,Jenny Olsen,9798556546882,PB,F2-B20-S09,
The  black arrow,Robert Louis Stevenson,9780684188973,PB,F2-B09-S09,
The  black arrow,Robert Louis Stevenson,9780684188973,LP,F1-B06-S05,Large print edition
The  black arrow,Robert Louis Stevenson,9780684188973,LP,F1-B06-S05,Large print edition
The  black arrow,Robert Louis Stevenson,9780684188973,PB,F2-B09-S09,
The 57 Bus,Dashka Slater,9781432849269,PB,F1-B05-S06,
The 57 Bus,Dashka Slater,9781432849269,ADIG,,Audiobook (digital)
The 57 Bus,Dashka Slater,9781432849269,PB,F1-B05-S06,
The 57 Bus,Dashka Slater,9781432849269,PB,F1-B05-S06,
The 6th Target,James Patterson,9780755349319,PB,F2-B22-S04,Slightly damaged cover
The 6th Target,James Patterson,9780755349319,EBK,,eBook edition
The Adventure of the Christmas Pudding,Agatha Christie,9789997508928,PB,F1-B10-S06,
The Adventure of the Christmas Pudding,Agatha Christie,9789997508928,ACD,F0-B18-S04,Audiobook (CD)
The Adventure of the Christmas Pudding,Agatha Christie,9789997508928,PB,F1-B10-S06,
The Adventure of the Christmas Pudding,Agatha Christie,9789997508928,ADIG,,Audiobook (digital)
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,9781077870963,PB,F1-B02-S05,
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,9781077870963,LP,F1-B14-S02,Large print edition
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,9781077870963,ADIG,,Audiobook (digital)
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,9781077870963,PB,F1-B02-S05,
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,9781077870963,ACD,F0-B14-S10,Audiobook (CD)
The Alhambra,Washington Irving,9781530411870,PB,F1-B22-S09,
The Alhambra,Washington Irving,9781530411870,PB,F1-B22-S09,
The Alhambra,Washington Irving,9781530411870,PB,F1-B22-S09,
The Alhambra,Washington Irving,9781530411870,ACD,F1-B02-S07,Audiobook (CD)
The Amateur Cracksman,E. W. Hornung,9798831180756,PB,F2-B06-S08,
The Amateur Cracksman,E. W. Hornung,9798831180756,ACD,F0-B06-S03,Audiobook (CD)
The Amateur Cracksman,E. W. Hornung,9798831180756,PB,F2-B06-S08,
The Amateur Cracksman,E. W. Hornung,9798831180756,PB,F2-B06-S08,
The Angel Experiment,James Patterson,9780786282920,PB,F2-B19-S07,
The Angel Experiment,James Patterson,9780786282920,ADIG,,Audiobook (digital)
The Angel Experiment,James Patterson,9780786282920,LP,F1-B15-S06,Large print edition
The Angel Experiment,James Patterson,9780786282920,ADIG,,Audiobook (digital)
The Angel Experiment,James Patterson,9780786282920,ACD,F0-B15-S09,Audiobook (CD)
The Angel of Terror,Edgar Wallace,9798740631233,PB,F1-B12-S04,
The Angel of Terror,Edgar Wallace,9798740631233,LP,F1-B22-S02,Large print edition
The Appeal,John Grisham,9788499088082,PB,F1-B25-S04,
The Appeal,John Grisham,9788499088082,PB,F1-B25-S04,
The Appeal,John Grisham,9788499088082,PB,F1-B25-S04,
The Appeal,John Grisham,9788499088082,LP,F1-B08-S08,Large print edition
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),Stephen King,9780808565086,PB,F2-B28-S02,
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),Stephen King,9780808565086,ADIG,,Audiobook (digital); Donated copy
The Bad Place,Dean Koontz,9780425245194,PB,F2-B11-S04,Replacement case
The Bad Place,Dean Koontz,9780425245194,PB,F2-B11-S04,Replacement case
The Bad Place,Dean Koontz,9780425245194,ADIG,,Replacement case; Audiobook (digital)
The Bad Place,Dean Koontz,9780425245194,PB,F2-B11-S04,Replacement case
The Bad Place,Dean Koontz,9780425245194,ACD,F1-B17-S02,Replacement case; Audiobook (CD)
The beach house,James Patterson,9780759573932,PB,F2-B16-S09,
The beach house,James Patterson,9780759573932,PB,F2-B16-S09,
The beach house,James Patterson,9780759573932,LP,F1-B15-S10,Large print edition
The beach house,James Patterson,9780759573932,PB,F2-B16-S09,
The beach house,James Patterson,9780759573932,PB,F2-B16-S09,
The BFG,Roald Dahl,9788573261295,PB,F1-B03-S08,Slightly damaged cover
The BFG,Roald Dahl,9788573261295,PB,F1-B03-S08,Slightly damaged cover
The BFG,Roald Dahl,9788573261295,ADIG,,Slightly damaged cover; Audiobook (digital)
The BFG,Roald Dahl,9788573261295,PB,F1-B03-S08,Slightly damaged cover
The Big Bad Wolf,James Patterson,9782744199318,PB,F2-B28-S09,
The Big Bad Wolf,James Patterson,9782744199318,LP,F1-B03-S07,Large print edition
The Big Bow Mystery,Israel Zangwill,9798622033018,PB,F2-B06-S02,
The Big Bow Mystery,Israel Zangwill,9798622033018,PB,F2-B06-S02,
The Big Bow Mystery,Israel Zangwill,9798622033018,ACD,F0-B02-S03,Audiobook (CD)
The Big Bow Mystery,Israel Zangwill,9798622033018,PB,F2-B06-S02,
The Big Four,Agatha Christie,9780553350418,PB,F1-B08-S03,
